incident_type,classification_logic,risk_matrix,legal_statute_mapping,tactical_action_guide,emergency_escalation_protocol,evidence_preservation_strategy,document_generation_requirements
cyber_fraud,Financial/Digital Forensic Category,High: Funds in transit; Low: Funds withdrawn/laundered,"IT Act 2000; BNSS Sec 111 (Organized Crime); RBI Circular 2017/18",1. Immediate 'Lien' request to Bank; 2. Portal 1930 Registration; 3. Digital footprint logging,Escalate to Nodal Officer (Bank) -> RBI Ombudsman -> Writ of Mandamus if Police inaction,Hash-log of screenshots; UPI Transaction IDs; IP Address logs (if available),Formal Dispute Form; Affidavit of Non-authorization; Copy of 1930 Acknowledgement
domestic_violence,Gender-Based Violence (Social/Physical),Critical: Physical threat to life; Moderate: Emotional/Economic abuse,"PWDV Act 2005 (Civil); BNS Sec 85/86 (Criminal Responsibility)",1. Secure Physical Perimeter; 2. DIR (Domestic Incident Report) via Protection Officer; 3. Medical Legal Certificate (MLC),Move for 'Ex-Parte' Interim Protection Order (Sec 23 PWDV); Immediate Shelter Home requisition,Audio/Video recordings of threats; Medical prescriptions; Witness statements from neighbors,DIR Template; Petition for Maintenance/Residence; Application for Custody
sexual_harassment,Violation of Bodily Autonomy/Workplace Rights,High: Retaliation risk (Quid Pro Quo); Hostile environment,"BNS Sec 74-78; POSH Act 2013; Vishaka Guidelines",1. Written notice to ICC/LC; 2. Statement u/s 164 CrPC; 3. Request for interim leave/transfer,Appeal to District Officer (POSH) -> High Court Writ for ICC negligence -> FIR u/s 166A for Police lapse,Metadata-stamped screenshots; Email headers; Diary of incidents (Contemporaneous notes),Formal ICC Complaint; Request for Conciliation/Inquiry; Witness list with contact details
police_refusal,Procedural Failure / Misconduct (Public Servant),High: Evidence tampering/Accused absconding,"Section 154(3) BNSS/CrPC; Section 166A(c) BNS (Punishable Offense)",1. Registered Post to SP/SSP; 2. Written representation to DM; 3. Demand for 'Zero FIR' if jurisdictional issue,File Section 156(3) Application before Magistrate to order FIR registration,Photographic proof of station visit; Video of refusal (if safe); Post Receipt of complaint,Formal Representation to SP; Section 156(3) Application; Contempt notice to SHO
kidnapping,Personal Safety / Abduction Crime,Emergency: Immediate life threat; High: Prolonged detention,"IPC Sec 363-369; BNSS Sec 100-105 (Kidnapping)",1. Alert nearby people; 2. Note vehicle details; 3. Call 112 immediately,Contact NIA if interstate; File habeas corpus if minor involved,Photographs of last seen location; Witness statements; Clothing fibers if struggle occurred,Kidnapping FIR Template; Missing Person Report; Medical Examination Request
assault,Physical Violence / Bodily Harm,High: Weapon involved; Moderate: Unarmed attack,"IPC Sec 323-326; BNSS Sec 79-82 (Voluntarily Causing Hurt)",1. Seek immediate medical attention; 2. Document injuries with photos; 3. Report to nearest police station,Approach Sessions Court for fast-track trial; Claim compensation under Victim Compensation Scheme,Medical reports; Injury photographs; Weapon if recovered; Witness affidavits,Assault FIR; Medical Legal Certificate (MLC); Compensation Application
robbery,Property Crime with Violence,Emergency: Armed robbery; High: Gang involvement,"IPC Sec 392-394; BNSS Sec 98-99 (Robbery)",1. Do not resist if armed; 2. Note suspect descriptions; 3. Secure scene for evidence,File robbery FIR; Request CCTV footage from nearby establishments,Property recovery tracking; Fingerprints on stolen items; DNA evidence if applicable,Robbery FIR; Property Valuation Report; Insurance Claim Form
burglary,Property Crime / Unauthorized Entry,Moderate: Residential break-in; Low: Commercial premises,"IPC Sec 445-448; BNSS Sec 103-104 (House Trespass)",1. Do not enter premises; 2. Call police immediately; 3. Assess damage from outside,File burglary FIR; Coordinate with insurance company,Footprint casts; Tool marks on locks; Fingerprints on surfaces,Burglary FIR; Property Inventory; Insurance Claim Documentation
acid_attack,Chemical Violence / Disfigurement,Emergency: Immediate medical emergency; Critical: Permanent disability,"IPC Sec 326A-326B; BNSS Sec 82 (Voluntarily Causing Grievous Hurt)",1. Flush affected area with water; 2. Seek emergency medical care; 3. Preserve clothing/chemical container,File under acid attack special provisions; Approach acid attack survivor support groups,Medical reports; Chemical analysis of residue; CCTV footage; Witness statements,Acid Attack FIR; Disability Certificate; Compensation Claim
dowry_harassment,Economic / Familial Pressure,Moderate: Emotional distress; High: Physical abuse involved,"Dowry Prohibition Act 1961; IPC Sec 498A; BNSS Sec 85",1. Document harassment instances; 2. Seek family mediation; 3. Report to police if threats,File dowry harassment FIR; Seek protection order under PWDV Act,Harassment diaries; Gift deeds; Bank transaction proofs; Audio recordings,Dowry Harassment FIR; Protection Order Application; Maintenance Petition
